strain	virus	date	region	country	division	location	pangolin_lineage	GISAID_clade
hCoV-19/Colombia/VAC-SYNLAB-f48378474/2022	ncov	2022-03-13	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-UV_31091/2022	ncov	2022-01-31	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-UV-20030503/2022	ncov	2022-01-07	South America	Colombia	Valle del Cauca	Florida	BA.1.1	GRA
hCoV-19/Colombia/VAC-CSB-1107839707/2022	ncov	2022-01-01	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-SYNLAB-CE25713766-K/2022	ncov	2022-02-12	South America	Colombia	Valle del Cauca	Palmira	BA.1.15	GRA
hCoV-19/Colombia/VAC-CSB-31578146/2022	ncov	2022-01-05	South America	Colombia	Valle del Cauca	Cali	BA.1.17	GRA
hCoV-19/Colombia/VAC-SYNLAB-A4485053/2022	ncov	2022-02-04	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-UV-20030517/2022	ncov	2022-01-06	South America	Colombia	Valle del Cauca	Cali	BA.1.15	GRA
hCoV-19/Colombia/VAC-UV-20030534/2022	ncov	2022-01-06	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-UV_31093/2022	ncov	2022-02-01	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-CSB-1005892659/2022	ncov	2022-01-05	South America	Colombia	Valle del Cauca	Cali	BA.1.15	GRA
hCoV-19/Colombia/VAC-SYNLAB-2570340/2022	ncov	2022-01-10	South America	Colombia	Valle del Cauca	Guacari	BA.1.1	GRA
hCoV-19/Colombia/VAC-UV-20030165/2022	ncov	2022-01-03	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-UV-30925/2022	ncov	2022-01-20	South America	Colombia	Valle del Cauca	Cali	Unassigned	GRA
hCoV-19/Colombia/VAC-CSB-16362635/2022	ncov	2022-01-02	South America	Colombia	Valle del Cauca	Cali	BA.1	GRA
hCoV-19/Colombia/VAC-IDIME-16761309/2022	ncov	2022-01-07	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-UV-20030136/2021	ncov	2021-12-30	South America	Colombia	Valle del Cauca	Cali	BA.1.15	GRA
hCoV-19/Colombia/CAL-SYNLAB-6049588/2022	ncov	2022-01-11	South America	Colombia	Caldas	Manizales	BA.1.1	GRA
hCoV-19/Colombia/VAC-CSB-31975163/2022	ncov	2022-01-05	South America	Colombia	Valle del Cauca		BA.1.1	GRA
hCoV-19/Colombia/VAC-CSB-1005892465/2022	ncov	2022-01-03	South America	Colombia	Valle del Cauca	Cali	BA.1	GRA
hCoV-19/Colombia/VAC-UV_31119/2022	ncov	2022-02-02	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-SYNLAB-P17749335/2022	ncov	2022-02-02	South America	Colombia	Valle del Cauca		BA.1	GRA
hCoV-19/Colombia/VAC-IDIME-1110541666/2022	ncov	2022-01-07	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-SYNLAB-6061162/2022	ncov	2022-01-10	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-SYNLAB-66828495/2022	ncov	2022-01-11	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-UV_31105/2022	ncov	2022-02-01	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-SYNLAB-38956143/2022	ncov	2022-01-10	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-LADS-31919773/2021	ncov	2021-11-12	South America	Colombia	Valle Del Cauca	Cali	AY.20	GK
hCoV-19/Colombia/VAC-LADS-31936104/2021	ncov	2021-11-04	South America	Colombia	Valle del Cauca	Cali	AY.122	GK
hCoV-19/Colombia/VAC-LADS-38730250/2021	ncov	2021-11-07	South America	Colombia	Valle del Cauca	Cali	B.1.621.2	GH
hCoV-19/Colombia/VAC-LCSS-94063220/2021	ncov	2021-11-02	South America	Colombia	Valle del Cauca	Cali	AY.20	GK
hCoV-19/Colombia/VAC-CSB-52821416/2021	ncov	2021-10-17	South America	Colombia	Valle del Cauca	Cali	AY.25	GK
hCoV-19/Colombia/VAC-UV-29118/2021	ncov	2021-10-30	South America	Colombia	Valle del Cauca	Cali	AY.43	GK
hCoV-19/Colombia/VAC-CSB-1143840114/2021	ncov	2021-10-27	South America	Colombia	Valle del Cauca	Cali	AY.44	GK
hCoV-19/Colombia/VAC-UV-29355/2021	ncov	2021-11-22	South America	Colombia	Valle Del Cauca	Cali	AY.44	GK
hCoV-19/Colombia/VAC-CSB-1144037432/2021	ncov	2021-11-12	South America	Colombia	Valle Del Cauca	Cali	B.1.617.2	GK
hCoV-19/Colombia/VAC-CSB-1107039571/2021	ncov	2021-10-17	South America	Colombia	Valle del Cauca	Cali	AY.25.1	GK
hCoV-19/Colombia/VAC-CSB-1130607639/2021	ncov	2021-11-12	South America	Colombia	Valle Del Cauca	Cali	AY.20	GK
hCoV-19/Colombia/VAC-UV-29094/2021	ncov	2021-10-31	South America	Colombia	Valle del Cauca	Cali	AY.20	GK
hCoV-19/Colombia/VAC-UV-29352/2021	ncov	2021-11-22	South America	Colombia	Valle Del Cauca	Cali	AY.25.1	GK
hCoV-19/Colombia/VAC-SAD-1113660306/2021	ncov	2021-10-22	South America	Colombia	Valle Del Cauca	Palmira	B.1.617.2	GK
hCoV-19/Colombia/QUI-SAD-177080348/2021	ncov	2021-07-30	South America	Colombia	Quindio	Quimbaya	B.1.621	GH
hCoV-19/Colombia/VAC-CS-21082702579/2021	ncov	2021-08-27	South America	Colombia	Valle del Cauca	CALI	B.1.621	GH
hCoV-19/Colombia/VAC-CS-21081802148/2021	ncov	2021-08-18	South America	Colombia	Valle del Cauca	CALI	B.1.621	GH
hCoV-19/Colombia/ANT-CS-21081702014/2021	ncov	2021-08-17	South America	Colombia	Antioquia	MEDELLIN	B.1.621	GH
hCoV-19/Colombia/VAC-CS-21081402111/2021	ncov	2021-08-15	South America	Colombia	Valle del Cauca	CALI	B.1.621	GH
hCoV-19/Colombia/VAC-SAD-248010574/2021	ncov	2021-08-02	South America	Colombia	Valle del Cauca	CALI	B.1.621	GH
hCoV-19/Colombia/QUI-CS-21082101335/2021	ncov	2021-08-22	South America	Colombia	Quindio	ARMENIA	B.1.621	GH
hCoV-19/Colombia/VAC-CIGQS-8020923/2021	ncov	2021-08-04	South America	Colombia	Valle del Cauca	CALI	B.1.621	GH
hCoV-19/Colombia/VAC-CIGQS-7160616/2021	ncov	2021-07-17	South America	Colombia	Valle del Cauca	CALI	P.1	GR
hCoV-19/Colombia/VAC-SAD-134240147/2021	ncov	2021-07-31	South America	Colombia	Valle del Cauca	CALI	B.1.621	GH
hCoV-19/Colombia/VAC-SAD-205005385/2021	ncov	2021-08-02	South America	Colombia	Valle del Cauca	PALMIRA	B.1.621	GH
hCoV-19/Colombia/VAC-CS-21081202011/2021	ncov	2021-08-13	South America	Colombia	Valle del Cauca	ARMENIA	B.1.621	GH
hCoV-19/Colombia/VAC-CIGQS-7178245/2021	ncov	2021-07-18	South America	Colombia	Valle del Cauca	CALI	B.1.621	GH
hCoV-19/Colombia/VAC-CIGQS-7150142/2021	ncov	2021-07-16	South America	Colombia	Valle del Cauca	CALI	B.1.621	GH
hCoV-19/Colombia/VAC-CIGQS-7210733/2021	ncov	2021-07-22	South America	Colombia	Valle del Cauca	YUMBO	B.1.621.1	GH
hCoV-19/Colombia/VAC-SAD-134240358/2021	ncov	2021-08-01	South America	Colombia	Valle del Cauca	JAMUNDI	B.1.621	GH
hCoV-19/Colombia/ANT-CS-21081202253/2021	ncov	2021-08-12	South America	Colombia	Antioquia	MEDELLIN	B.1.621	GH
hCoV-19/Colombia/VAC-CS-21081001970/2021	ncov	2021-08-11	South America	Colombia	Valle del Cauca	PALMIRA	B.1.621	GH
hCoV-19/Colombia/VAC-CIGQS-7170794/2021	ncov	2021-07-17	South America	Colombia	Valle del Cauca	Jamundi	B.1.621.1	GH
hCoV-19/Colombia/ANT-CS-21080902304/2021	ncov	2021-08-09	South America	Colombia	Antioquia	MEDELLIN	B.1	GH
hCoV-19/Colombia/VAC-CSN-41478049/2021	ncov	2021-12-01	South America	Colombia	Valle Del Cauca	Cali	AY.125	GK
hCoV-19/Colombia/RIS-SAD-1004734897/2021	ncov	2021-10-19	South America	Colombia	Risaralda	DOS QUEBRADAS	AY.25.1	GK
hCoV-19/Colombia/VAC-UV-20025962/2021	ncov	2021-07-01	South America	Colombia	Valle del Cauca	Cali	C.37	GR
hCoV-19/Colombia/VAC-UV-20026550/2021	ncov	2021-07-19	South America	Colombia	Valle del Cauca	Cali	P.1	GR
hCoV-19/Colombia/VAC-UV-20029932/2021	ncov	2021-12-22	South America	Colombia	Valle del Cauca	Cali	AY.42	GK
hCoV-19/Colombia/VAC-COV_24589/2021	ncov	2021-05-10	South America	Colombia	Valle del Cauca	Cali	P.1	GR
hCoV-19/Colombia/VAC-UV-20030188/2022	ncov	2022-01-03	South America	Colombia	Valle del Cauca	Cali	AY.43	GK
hCoV-19/Colombia/QUI-SAD-1094880078/2021	ncov	2021-10-03	South America	Colombia	Quindio	Tebaida	AY.101	GK
hCoV-19/Colombia/VAC-CSB-1144068701/2021	ncov	2021-09-28	South America	Colombia	Valle Del Cauca	Cali	AY.20	GK
hCoV-19/Colombia/VAC-UV-28861/2021	ncov	2021-10-14	South America	Colombia	Valle Del Cauca	Cali	B.1.617.2	GK
hCoV-19/Colombia/VAC-CSB-1143997679/2021	ncov	2021-09-28	South America	Colombia	Valle Del Cauca	Cali	AY.25.1	GK
hCoV-19/Colombia/VAC-CSB-1107092012/2021	ncov	2021-10-07	South America	Colombia	Valle Del Cauca	Cali	AY.100	GK
hCoV-19/Colombia/VAC-SAD-76044086/2021	ncov	2021-10-16	South America	Colombia	Valle Del Cauca	Cali	B.1.617.2	GK
hCoV-19/Colombia/VAC-SAD-38558573/2021	ncov	2021-10-05	South America	Colombia	Valle Del Cauca	Cali	B.1.617.2	GK
hCoV-19/Colombia/QUI-SAD-25057232/2021	ncov	2021-10-05	South America	Colombia	Quindio	Quimbaya	B.1.617.2	GK
hCoV-19/Colombia/VAC-SAD-94481631/2021	ncov	2021-10-08	South America	Colombia	Valle Del Cauca	Guadalajara De Buga	AY.100	GK
hCoV-19/Colombia/VAC-SAD-29124736/2021	ncov	2021-10-07	South America	Colombia	Valle Del Cauca	Yumbo	B.1.617.2	GK
hCoV-19/Colombia/VAC-ASOCLINIC-66840464/2021	ncov	2021-09-16	South America	Colombia	Valle Del Cauca	Cali	AY.47	GK
hCoV-19/Colombia/VAC-CSB-94403475/2021	ncov	2021-09-29	South America	Colombia	Valle Del Cauca	Cali	AY.25.1	GK
hCoV-19/Colombia/VAC-SAD-1113682480/2021	ncov	2021-10-15	South America	Colombia	Valle Del Cauca	Palmira	AY.100	GK
hCoV-19/Colombia/VAC-CSB-1127950356/2021	ncov	2021-10-01	South America	Colombia	Valle Del Cauca	Cali	AY.20	GK
hCoV-19/Colombia/VAC-CS-31290487/2021	ncov	2021-10-01	South America	Colombia	Valle Del Cauca	Cali	AY.20	GK
hCoV-19/Colombia/VAC-LADS-1110050843/2021	ncov	2021-09-27	South America	Colombia	Valle Del Cauca	Cali	AY.25.1	GK
hCoV-19/Colombia/VAC-SAD-1110288954/2021	ncov	2021-10-06	South America	Colombia	Valle Del Cauca	Cali	AY.43	GK
hCoV-19/Colombia/VAC-SAD-36088014/2021	ncov	2021-10-14	South America	Colombia	Valle Del Cauca	Cali	AY.43	GK
hCoV-19/Colombia/VAC-SAD-1107860160/2021	ncov	2021-10-16	South America	Colombia	Valle Del Cauca	Cali	AY.25.1	GK
hCoV-19/Colombia/VAC-CSB-1112482611/2021	ncov	2021-09-30	South America	Colombia	Valle Del Cauca	Jamundi	AY.101	GK
hCoV-19/Colombia/VAC-CSB-1109122160/2021	ncov	2021-09-27	South America	Colombia	Valle Del Cauca	Cali	AY.25.1	GK
hCoV-19/Colombia/VAC-SAD-94269954/2021	ncov	2021-10-05	South America	Colombia	Valle Del Cauca	Dagua	AY.101	GK
hCoV-19/Colombia/VAC-CSB-94494063/2021	ncov	2021-10-01	South America	Colombia	Valle Del Cauca	Cali	AY.26	GK
hCoV-19/Colombia/VAC-CSB-66988120/2021	ncov	2021-09-27	South America	Colombia	Valle Del Cauca	Cali	AY.9.2	GK
hCoV-19/Colombia/VAC-CSB-1151950163/2021	ncov	2021-10-07	South America	Colombia	Valle Del Cauca	Cali	AY.125	GK
hCoV-19/Colombia/VAC-CSB-66820332/2021	ncov	2021-10-05	South America	Colombia	Valle Del Cauca	Cali	AY.20	GK
hCoV-19/Colombia/VAC-CSB-46450217/2021	ncov	2021-09-28	South America	Colombia	Valle Del Cauca	Cali	AY.122	GK
hCoV-19/Colombia/VAC-SAD-1150685935/2021	ncov	2021-10-06	South America	Colombia	Valle Del Cauca	Cali	AY.43	GK
hCoV-19/Colombia/NAR-SAD-1085272986/2021	ncov	2021-10-08	South America	Colombia	Nariño	Pasto	B.1.621	GH
hCoV-19/Colombia/VAC-CSB-16696564/2021	ncov	2021-10-07	South America	Colombia	Valle Del Cauca	Cali	AY.20	GK
hCoV-19/Colombia/CAU-CSB-1013029799/2021	ncov	2021-10-06	South America	Colombia	Cauca	Popayan	AY.118	GK
hCoV-19/Colombia/QUI-SAD-1094916092/2021	ncov	2021-10-14	South America	Colombia	Quindio	Armenia	AY.101	GK
hCoV-19/Colombia/VAC-SAD-1116157442/2021	ncov	2021-10-15	South America	Colombia	Valle Del Cauca	Cali	AY.125	GK
hCoV-19/Colombia/VAC-CSB-67027081/2021	ncov	2021-09-28	South America	Colombia	Valle Del Cauca	Cali	AY.125	GK
hCoV-19/Colombia/CAL-SAD-30303253/2021	ncov	2021-10-06	South America	Colombia	Caldas	Manizales	AY.103	GK
hCoV-19/Colombia/VAC-CSB-1151956137/2021	ncov	2021-10-07	South America	Colombia	Valle Del Cauca	Cali	AY.25.1	GK
hCoV-19/Colombia/VAC-SAD-1143850305/2021	ncov	2021-10-06	South America	Colombia	Valle Del Cauca	Valle Del Cauca	B.1.621.2	GH
hCoV-19/Colombia/VAC-CSB-94535923/2021	ncov	2021-09-27	South America	Colombia	Valle Del Cauca	Cali	B.1.621	GH
hCoV-19/Colombia/VAC-CSB-26258449/2021	ncov	2021-09-27	South America	Colombia	Valle Del Cauca	Cali	AY.25	GK
hCoV-19/Colombia/VAC-CSB-43257057/2021	ncov	2021-10-07	South America	Colombia	Valle Del Cauca	Candelaria-Valle	AY.44	GK
hCoV-19/Colombia/VAC-CSB-1111698711/2021	ncov	2021-10-07	South America	Colombia	Valle Del Cauca	Cali	AY.25.1	GK
hCoV-19/Colombia/VAC-LADS-14676420/2021	ncov	2021-09-27	South America	Colombia	Valle Del Cauca	Cali	B.1.621	GH
hCoV-19/Colombia/VAC-CSB-94294149/2021	ncov	2021-09-30	South America	Colombia	Valle Del Cauca	Cali	B.1.621.2	GH
hCoV-19/Colombia/VAC-CSB-16791598/2021	ncov	2021-10-07	South America	Colombia	Valle Del Cauca	Cali	B.1.621.2	GH
hCoV-19/Colombia/VAC-SAD-41565413/2021	ncov	2021-10-16	South America	Colombia	Valle Del Cauca	Cali	B.1.621.2	GH
hCoV-19/Colombia/VAC-I-38975009/2021	ncov	2021-09-28	South America	Colombia	Valle Del Cauca	Cali	AY.101	GK
hCoV-19/Colombia/VAC-CSB-1143998031/2021	ncov	2021-09-28	South America	Colombia	Valle Del Cauca	Cali	AY.25.1	GK
hCoV-19/Colombia/VAC-CSB-1144142053/2021	ncov	2021-10-06	South America	Colombia	Valle Del Cauca	Cali	AY.101	GK
hCoV-19/Colombia/VAC-SAD-16941447/2021	ncov	2021-10-14	South America	Colombia	Valle Del Cauca	Cali	AY.43	GK
hCoV-19/Colombia/VAC-UV-28819/2021	ncov	2021-10-09	South America	Colombia	Valle Del Cauca	Cali	AY.25.1	GK
hCoV-19/Colombia/QUI-LADS-1098308222/2021	ncov	2021-10-02	South America	Colombia	Valle Del Cauca	Armenia	AY.20	GK
hCoV-19/Colombia/QUI-SAD-1096038292/2021	ncov	2021-10-02	South America	Colombia	Quindio	La Tebaida	AY.101	GK
hCoV-19/Colombia/QUI-SAD-24441052/2021	ncov	2021-10-14	South America	Colombia	Quindio	Armenia	AY.101	GK
hCoV-19/Colombia/QUI-SAD-9806208/2021	ncov	2021-10-08	South America	Colombia	Quindio		AY.101	GK
hCoV-19/Colombia/PUT-SAD-1127079691/2021	ncov	2021-10-15	South America	Colombia	Putumayo	Villagarzon	AY.122	GK
hCoV-19/Colombia/NAR-SAD-59176067/2021	ncov	2021-10-05	South America	Colombia	Nariño	Pasto	AY.101	GK
hCoV-19/Colombia/CAU-CSB-1061699693/2021	ncov	2021-10-01	South America	Colombia	Cauca	Popayan	AY.101	GK
hCoV-19/Colombia/VAC-UV-29686/2021	ncov	2021-12-09	South America	Colombia	Valle Del Cauca	Cali	AY.25.1	GK
hCoV-19/Colombia/VAC-CSB-1107100313/2021	ncov	2021-11-08	South America	Colombia	Valle del Cauca	Cali	AY.122.4	GK
hCoV-19/Colombia/VAC-SAD-2850122/2021	ncov	2021-10-13	South America	Colombia	Valle Del Cauca	Cali	B.1.621	G
hCoV-19/Colombia/VAC-UV-28216/2021	ncov	2021-08-22	South America	Colombia	Valle del Cauca	Cali	B.1	GK
hCoV-19/Colombia/VAC-UV-28734/2021	ncov	2021-10-08	South America	Colombia	Valle Del Cauca	Cali	B.1.617.2	GK
hCoV-19/Colombia/VAC-LADS-31214452/2021	ncov	2021-10-01	South America	Colombia	Valle Del Cauca	Cali	B.1.621.2	GH
hCoV-19/Colombia/VAC-SYNLAB-A4485049/2022	ncov	2022-03-04	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-SYNLAB-66738840/2022	ncov	2022-03-12	South America	Colombia	Valle del Cauca	Cali	BA.2.9	GRA
hCoV-19/Colombia/VAC-SYNLAB-6186770/2022	ncov	2022-02-01	South America	Colombia	Valle del Cauca	Buga	BA.1.1	GRA
hCoV-19/Colombia/VAC-SYNLAB-52959095/2022	ncov	2022-03-13	South America	Colombia	Valle del Cauca	Buga	Unassigned	GRA
hCoV-19/Colombia/VAC-SYNLAB-34256053/2022	ncov	2022-02-11	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-SYNLAB-31157570/2022	ncov	2022-03-08	South America	Colombia	Valle del Cauca	Palmira	BA.1.1	GRA
hCoV-19/Colombia/VAC-SYNLAB-30276250/2022	ncov	2022-03-01	South America	Colombia	Valle del Cauca	Buga	BA.1.1	GRA
hCoV-19/Colombia/VAC-SYNLAB-16493928/2022	ncov	2022-03-12	South America	Colombia	Valle del Cauca	Cali	BA.2.9	GRA
hCoV-19/Colombia/VAC-SYNLAB-16286330/2022	ncov	2022-03-18	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-SYNLAB-142998397/2022	ncov	2022-03-13	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-SYNLAB-1144036069/2022	ncov	2022-03-26	South America	Colombia	Valle del Cauca	Cali	BA.2	GRA
hCoV-19/Colombia/VAC-SYNLAB-11440004223/2022	ncov	2022-03-07	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-SYNLAB-1114894626/2022	ncov	2022-02-07	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-SYNLAB-1114814167/2022	ncov	2022-03-14	South America	Colombia	Valle del Cauca	Palmira	BA.1.1	GRA
hCoV-19/Colombia/VAC-SYNLAB-1113528248/2022	ncov	2022-02-02	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-SYNLAB-1005832360/2022	ncov	2022-03-11	South America	Colombia	Valle del Cauca	Cali	BA.2.9	GRA
hCoV-19/Colombia/VAC-LCSS-66770358/2022	ncov	2022-02-23	South America	Colombia	Valle del Cauca	Palmira	BA.1.1	GRA
hCoV-19/Colombia/VAC-LCSS-6349207/2022	ncov	2022-03-12	South America	Colombia	Valle del Cauca	Cali	BA.2	GRA
hCoV-19/Colombia/VAC-LCSS-6285559/2022	ncov	2022-02-17	South America	Colombia	Valle del Cauca	Palmira	BA.1.1	GRA
hCoV-19/Colombia/VAC-LCSS-31951742/2022	ncov	2022-02-25	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-LCSS-29067753/2022	ncov	2022-02-15	South America	Colombia	Valle del Cauca	Cali	BA.1	GRA
hCoV-19/Colombia/VAC-LCSS-29047218/2022	ncov	2022-02-09	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-LCSS-25135717/2022	ncov	2022-02-19	South America	Colombia	Valle del Cauca	Guacari	BA.1.1	GRA
hCoV-19/Colombia/VAC-LCSS-24290604/2022	ncov	2022-03-20	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-LCSS-16586324/2022	ncov	2022-02-25	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-LCSS-1115075314/2022	ncov	2022-03-19	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-LCSS-1114320315/2022	ncov	2022-02-17	South America	Colombia	Valle del Cauca	Palmira	BA.1.1	GRA
hCoV-19/Colombia/VAC-LCSS-1113629801/2022	ncov	2022-02-23	South America	Colombia	Valle del Cauca	Palmira	BA.1	GRA
hCoV-19/Colombia/VAC-LCSS-1108256639/2022	ncov	2022-02-22	South America	Colombia	Valle del Cauca	Jamundi	BA.1.16	GRA
hCoV-19/Colombia/VAC-LCSS-1094959244/2022	ncov	2022-02-11	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-LCSS-1006169680/2022	ncov	2022-02-25	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-IDIME-38960653/2022	ncov	2022-02-20	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-IDIME-31520806/2022	ncov	2022-02-15	South America	Colombia	Valle del Cauca	Jamundi	BA.1.1	GRA
hCoV-19/Colombia/VAC-IDIME-29001345/2022	ncov	2022-02-22	South America	Colombia	Valle del Cauca	Cali	BA.1.17	GRA
hCoV-19/Colombia/VAC-IDIME-2627182/2022	ncov	2022-02-22	South America	Colombia	Valle del Cauca	Bugalagrande	BA.1.15	GRA
hCoV-19/Colombia/VAC-IDIME-25059942/2022	ncov	2022-02-20	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-IDIME-1143924504/2022	ncov	2022-02-21	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-IDIME-1143880149/2022	ncov	2022-02-19	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-FVL-80215049/2022	ncov	2022-03-02	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-FVL-66855827/2022	ncov	2022-02-17	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-FVL-38681786/2022	ncov	2022-03-12	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-FVL-1109567649/2022	ncov	2022-02-21	South America	Colombia	Valle del Cauca	Jamundi	BA.1.1	GRA
hCoV-19/Colombia/VAC-FVL-10100210/2022	ncov	2022-02-20	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-CSB-94538010/2022	ncov	2022-03-17	South America	Colombia	Valle del Cauca	Cali	BA.2	GRA
hCoV-19/Colombia/VAC-CSB-94322547/2022	ncov	2022-02-23	South America	Colombia	Valle del Cauca	Jamundi	BA.1.1	GRA
hCoV-19/Colombia/VAC-CSB-66823825/2022	ncov	2022-03-14	South America	Colombia	Valle del Cauca	Andalucia	BA.1.15	GRA
hCoV-19/Colombia/VAC-CSB-66823212/2022	ncov	2022-03-02	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-CSB-52916636/2022	ncov	2022-02-23	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-CSB-38985265/2022	ncov	2022-02-25	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-CSB-34540196/2022	ncov	2022-03-07	South America	Colombia	Valle del Cauca	Cali	BA.2.9	GRA
hCoV-19/Colombia/VAC-CSB-29178990/2022	ncov	2022-03-17	South America	Colombia	Valle del Cauca	Cali	Unassigned	GRA
hCoV-19/Colombia/VAC-CSB-29087708/2022	ncov	2022-02-24	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-CSB-16648097/2022	ncov	2022-03-14	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-CSB-1144203359/2022	ncov	2022-02-28	South America	Colombia	Valle del Cauca	Cali	BA.1.15	GRA
hCoV-19/Colombia/VAC-CSB-1144091266/2022	ncov	2022-02-23	South America	Colombia	Valle del Cauca	Cali	Unassigned	GRA
hCoV-19/Colombia/VAC-CSB-1121832990/2022	ncov	2022-03-16	South America	Colombia	Valle del Cauca	Cali	BA.2	GRA
hCoV-19/Colombia/VAC-CSB-1087192105/2022	ncov	2022-03-03	South America	Colombia	Valle del Cauca	Palmira	BA.1.1	GRA
hCoV-19/Colombia/NAR-SYNLAB-27087410/2022	ncov	2022-02-04	South America	Colombia	Narino	Pasto	BA.1.1	GRA
hCoV-19/Colombia/NAR-SYNLAB-1085258653/2022	ncov	2022-02-02	South America	Colombia	Narino	Pasto	BA.1.1	GRA
hCoV-19/Colombia/CAU-CSB-76310896/2022	ncov	2022-03-02	South America	Colombia	Cauca	Popayan	BA.1.1	GRA
hCoV-19/Colombia/CAU-CSB-34330979/2022	ncov	2022-03-04	South America	Colombia	Cauca	Popayan	BA.1.1	GRA
hCoV-19/Colombia/CAU-CSB-32554118/2022	ncov	2022-03-01	South America	Colombia	Cauca	Popayan	BA.1.1	GRA
hCoV-19/Colombia/CAU-CSB-31946464/2022	ncov	2022-03-01	South America	Colombia	Cauca	Popayan	BA.1.1	GRA
hCoV-19/Colombia/CAU-CSB-12202964/2022	ncov	2022-02-24	South America	Colombia	Cauca	Popayan	BA.1.1	GRA
hCoV-19/Colombia/CAU-CSB-1061756813/2022	ncov	2022-03-14	South America	Colombia	Cauca	Popayan	BA.1.1	GRA
hCoV-19/Colombia/CAU-CSB-1061753137/2022	ncov	2022-02-26	South America	Colombia	Cauca	Popayan	BA.1.1	GRA
hCoV-19/Colombia/CAU-CSB-1061732937/2022	ncov	2022-02-26	South America	Colombia	Cauca	Popayan	BA.1.1	GRA
hCoV-19/Colombia/CAL-SYNLAB-38880005/2022	ncov	2022-03-07	South America	Colombia	Caldas	Manizales	BA.1.1	GRA
hCoV-19/Colombia/CAL-SYNLAB-24303773/2022	ncov	2022-02-03	South America	Colombia	Caldas	Manizales	BA.1.1	GRA
